¿óÌåºÅ,X×ø±ê,Y×ø±ê,Z×ø±ê,±ß½çºÅ
2ºÅ,2980055.491,40402148.27,0,B1
2ºÅ,2980052.344,40402144.21,0,B1
2ºÅ,2980049.833,40402137.74,0,B1
2ºÅ,2980051.102,40402135.22,0,B1
2ºÅ,2980050.661,40402128.79,0,B1
2ºÅ,2980051.732,40402122.77,0,B1
2ºÅ,2980053.599,40402120.73,0,B1
2ºÅ,2980055.534,40402115.61,0,B1
2ºÅ,2980067.912,40402113.94,0,B1
2ºÅ,2980074.088,40402113.66,0,B1
2ºÅ,2980079.357,40402109.93,0,B1
2ºÅ,2980085.296,40402109.73,0,B1
2ºÅ,2980098.456,40402111.33,0,B1
2ºÅ,2980101.933,40402118.78,0,B1
2ºÅ,2980110.436,40402118.49,0,B1
2ºÅ,2980115.515,40402114.09,0,B1
2ºÅ,2980117.006,40402103.31,0,B1
2ºÅ,2980129.634,40402096.27,0,B1
2ºÅ,2980136.698,40402086.02,0,B1
2ºÅ,2980141.519,40402082.03,0,B1
2ºÅ,2980151.315,40402072.29,0,B1
2ºÅ,2980152.948,40402071.88,0,B1
2ºÅ,2980160.555,40402066.97,0,B1
2ºÅ,2980169.195,40402064.69,0,B1
2ºÅ,2980180.65,40402063.65,0,B1
2ºÅ,2980184.897,40402066.62,0,B1
2ºÅ,2980196.141,40402075.85,0,B1
2ºÅ,2980199.641,40402079.07,0,B1
2ºÅ,2980209.539,40402086.58,0,B1
2ºÅ,2980211.976,40402093.73,0,B1
2ºÅ,2980208.093,40402101.02,0,B1
2ºÅ,2980203.392,40402101.41,0,B1
2ºÅ,2980192.963,40402106.11,0,B1
2ºÅ,2980205.725,40402113.4,0,B1
2ºÅ,2980211.068,40402117.67,0,B1
2ºÅ,2980214.647,40402121.01,0,B1
2ºÅ,2980220.226,40402116.95,0,B1
2ºÅ,2980231.354,40402119.55,0,B1
2ºÅ,2980230.468,40402129.74,0,B1
2ºÅ,2980227.631,40402133.55,0,B1
2ºÅ,2980214.722,40402135.42,0,B1
2ºÅ,2980211.19,40402143.99,0,B1
2ºÅ,2980214.521,40402154.31,0,B1
2ºÅ,2980219.512,40402157.9,0,B1
2ºÅ,2980221.332,40402164.36,0,B1
2ºÅ,2980234.574,40402162.19,0,B1
2ºÅ,2980234.119,40402166.12,0,B1
2ºÅ,2980229.217,40402171.85,0,B1
2ºÅ,2980227.968,40402181.05,0,B1
2ºÅ,2980229.572,40402192.57,0,B1
2ºÅ,2980228.151,40402209.33,0,B1
2ºÅ,2980229.136,40402221.87,0,B1
2ºÅ,2980222.394,40402228.06,0,B1
2ºÅ,2980215.197,40402231.39,0,B1
2ºÅ,2980203.407,40402241.08,0,B1
2ºÅ,2980191.166,40402248.08,0,B1
2ºÅ,2980181.388,40402258.35,0,B1
2ºÅ,2980167.636,40402263.89,0,B1
2ºÅ,2980152.419,40402263.62,0,B1
2ºÅ,2980137.814,40402261.51,0,B1
2ºÅ,2980129.015,40402262.17,0,B1
2ºÅ,2980122.394,40402261.11,0,B1
2ºÅ,2980111.562,40402261.2,0,B1
2ºÅ,2980104.219,40402262.6,0,B1
2ºÅ,2980100,40402268.36,0,B1
2ºÅ,2980098.097,40402273.37,0,B1
2ºÅ,2980097.967,40402278.58,0,B1
2ºÅ,2980097.465,40402280.14,0,B1
2ºÅ,2980093.493,40402281.7,0,B1
2ºÅ,2980088.251,40402281.75,0,B1
2ºÅ,2980084.906,40402281.84,0,B1
2ºÅ,2980082.643,40402280.09,0,B1
2ºÅ,2980083.65,40402275.77,0,B1
2ºÅ,2980084.833,40402268.54,0,B1
2ºÅ,2980085.586,40402264.65,0,B1
2ºÅ,2980094.226,40402252.5,0,B1
2ºÅ,2980096.404,40402243.44,0,B1
2ºÅ,2980094.626,40402234.89,0,B1
2ºÅ,2980090.924,40402231.77,0,B1
2ºÅ,2980089.872,40402227.13,0,B1
2ºÅ,2980091.738,40402219.09,0,B1
2ºÅ,2980093.323,40402209.24,0,B1
2ºÅ,2980089.867,40402203.91,0,B1
2ºÅ,2980090.417,40402196.56,0,B1
2ºÅ,2980092.555,40402191.41,0,B1
2ºÅ,2980107.252,40402181.18,0,B1
2ºÅ,2980115.047,40402171.19,0,B1
2ºÅ,2980122.805,40402164.45,0,B1
2ºÅ,2980128.931,40402163.03,0,B1
2ºÅ,2980130.751,40402161.66,0,B1
2ºÅ,2980130.957,40402158.46,0,B1
2ºÅ,2980128.1,40402155.75,0,B1
2ºÅ,2980118.894,40402150.96,0,B1
2ºÅ,2980114.635,40402150.04,0,B1
2ºÅ,2980108.753,40402150.63,0,B1
2ºÅ,2980098.316,40402153.55,0,B1
2ºÅ,2980066.43,40402163.16,0,B1
2ºÅ,2980063.329,40402163.19,0,B1
2ºÅ,2980060.096,40402162.02,0,B1
2ºÅ,2980059.048,40402156,0,B1
2ºÅ,2980057.357,40402153.82,0,B1
2ºÅ,2980057.312,40402149.45,0,B1
2ºÅ,2980055.491,40402148.27,0,B1
